"id","author_label","group_label","beta_twfe","se_twfe","beta_twfe_no_ctrls","se_twfe_no_ctrls","att_csdid_nt","se_csdid_nt","att_csdid_nyt","se_csdid_nyt","att_nt_simple","se_nt_simple","att_nyt_simple","se_nyt_simple","att_nt_dynamic","se_nt_dynamic","att_nyt_dynamic","se_nyt_dynamic","att_cs_nt_with_ctrls","se_cs_nt_with_ctrls","att_cs_nt_with_ctrls_dyn","se_cs_nt_with_ctrls_dyn","cs_nt_with_ctrls_status","att_cs_nyt_with_ctrls","se_cs_nyt_with_ctrls","att_cs_nyt_with_ctrls_dyn","se_cs_nyt_with_ctrls_dyn","cs_nyt_with_ctrls_status","has_event_study","treatment_timing","data_structure"
9,"Dranove et al. (2021)","escalonada_controles",-0.176305612449144,0.0483934437629663,-0.185884742305624,0.0456704414222782,-0.208403788810132,0.0529941155554229,-0.213346037685379,0.0514928203641214,-0.213803473901628,0.0590181180629375,-0.219344916925632,0.0544989282429696,-0.198484463998418,0.0503832659268376,-0.203321463305054,0.0519738838580702,-0.0130115453827838,0.0144794318561767,-0.00386033183030475,0.00459669538971387,"OK",-0.0128753955149762,0.0143784046301614,-0.00381632533221589,0.00451274523222739,"OK",TRUE,"staggered","panel"
21,"Buchmueller, Carey (2018)","escalonada_sem_controles",-0.00187036731021377,0.000832237772468236,-0.00187036731021377,0.000832237772468236,-0.00143576204510247,0.00130324461244391,-0.00143832078915781,0.00132921744179594,-0.00158708315154883,0.00126870876938675,-0.00159571715125312,0.00119005540989786,-0.00186116559588101,0.000833006733954919,-0.00186618609373464,0.000907687369197996,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
25,"Carrillo, Feres (2019)","escalonada_controles",0.115942387567382,0.00858524940816466,0.12807948556551,0.00870884148100418,0.114402687701988,0.00730073144735879,0.114402687701988,0.00709002263707754,0.114402687701988,0.0063284171592369,0.114402687701988,0.00703523294953482,0.114402687701988,0.0064280829504293,0.114402687701988,0.00674730085023405,0.0972075749896343,0.00667094519938382,0.0972075749896343,0.00666791361763036,"OK",0.0972075749896343,0.00688195953769669,0.0972075749896343,0.00704223213429818,"OK",TRUE,"staggered","panel"
44,"Bosch, Campos-Vazquez (2014)","escalonada_controles",-0.00664955216425122,0.00395442293363233,-0.000642017874043118,0.00449488150217521,NA,NA,0.00151377393737579,0.00471434718466953,NA,NA,0.000557815719386929,0.00462246152851546,NA,NA,0.00473345689479287,0.00443407380964796,NA,NA,NA,NA,"NOT_ATTEMPTED",-0.0118124169839563,0.012738087775475,-0.0118110858899811,0.0130433401544207,"OK",TRUE,"staggered","panel"
47,"Clemens (2015)","unica_controles",-0.0961699256445425,0.00973755408157843,-0.0975217016830325,0.0088938838287785,-0.124292091513902,0.0173280640482916,NA,NA,-0.124292091513902,0.0178401493261848,NA,NA,-0.124292091513902,0.017519497304999,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","repeated_cross_section"
60,"Schmitt (2018)","escalonada_controles",0.0701723452836316,0.0171535151704764,0.0638893079410308,0.0165760067115279,0.0528906815675982,0.0197867893994195,0.0530767111734781,0.0201833344411666,0.056594364881361,0.0211268702318262,0.0568252501792642,0.0204312906436438,0.0594173361578573,0.0233499466823126,0.0596028679094613,0.0233039978065552,0.0803578908135083,0.0215538784928935,0.0931330803606182,0.0272401753954051,"OK",0.0826466704625379,0.0216424526760868,0.0951925507764525,0.0243111967862921,"OK",TRUE,"staggered","panel"
61,"Evans, Garthwaite (2014)","unica_sem_controles",0.0103163620308446,0.00785727966106738,0.0047525473139651,0.00503663674580043,0.006514208761438,0.0137470560659153,NA,NA,0.006514208761438,0.013114923212247,NA,NA,0.006514208761438,0.012672830558897,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","repeated_cross_section"
65,"Akosa Antwi, Moriya & Simon (2013)","unica_controles",0.0317435990460314,0.00755874745336521,0.0343613361813251,0.00732116449161431,0.0248276269285577,0.0309828054023919,NA,NA,0.0248276269285577,0.0276275642988651,NA,NA,0.0248276269285577,0.0296722048541324,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"unica","repeated_cross_section"
68,"Tanaka (2014)","unica_sem_controles",0.567234942527154,0.241185403032607,0.567234942527154,0.241185403032607,0.521618768605356,0.389821038239328,NA,NA,0.521618768605356,0.383269696293053,NA,NA,0.521618768605356,0.387176953905199,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","rcs"
76,"Lawler, Yewell (2023)","escalonada_controles",0.0383225319079745,0.00949945737471897,0.0237501894836668,0.00783446956336077,0.0077395891442057,0.00544388743849039,0.00780777953528951,0.00595206679019959,0.0165156278401141,0.00568693407419825,0.0192165070031942,0.00485114435762157,0.0243710776183781,0.00820759396749034,0.0282021964807617,0.00610281723755208,0,NA,0,NA,"OK",0,NA,0,NA,"OK",TRUE,"staggered","repeated_cross_section"
