"id","author_label","estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
9,"Dranove et al. (2021)","CS-NT","full_IF",2,4,0,1,1,-0.0574900520024708,-0.122745284173899,-0.175852587903155
9,"Dranove et al. (2021)","TWFE","full",2,4,0,0.5,0.75,-0.0484921966523518,-0.120140535128034,-0.181597267240724
21,"Buchmueller, Carey (2018)","CS-NT","full_IF",3,3,0,0,0,-0.00255612269500666,-0.00263245071009327,-0.00278784299857131
21,"Buchmueller, Carey (2018)","TWFE","full",3,3,0,0,0,-0.00269342903470347,-0.00285481444103189,-0.00296932197757477
25,"Carrillo, Feres (2019)","CS-NT","full_IF",3,5,0,1,1.5,0.00308106270064177,0.0461659254009401,0.112723276602396
25,"Carrillo, Feres (2019)","TWFE","full",3,5,0,1,1.75,0.00420567953306568,0.0496846800450431,0.133107800510626
44,"Bosch, Campos-Vazquez (2014)","CS-NYT","full_IF",3,4,0,0.25,0.5,-0.00448731091507289,-0.0121494163765107,-0.0209004338929747
44,"Bosch, Campos-Vazquez (2014)","TWFE","full_IF",3,4,0.25,0.25,0.25,-0.00653180976578282,-0.010174439134845,-0.0129627593673253
47,"Clemens (2015)","CS-NT","full_IF",3,2,1.75,1.5,1.25,-0.109604037670331,-0.124292091513902,-0.138980145357474
47,"Clemens (2015)","TWFE","full",3,2,2,2,1.75,-0.0890062267068314,-0.104675262775595,-0.120344298844359
60,"Schmitt (2018)","CS-NT","full_IF",3,5,0.25,0,0,0.0438126772245795,0.0584925304666268,0.074599784659868
60,"Schmitt (2018)","TWFE","full",3,5,0,0,0,0.0420659686780603,0.059034137004615,0.0678594971027257
65,"Akosa Antwi, Moriya & Simon (2013)","CS-NT","full_IF",5,7,0,0,0,0.00744488629420737,0.0217827624088116,0.0488742193348745
65,"Akosa Antwi, Moriya & Simon (2013)","TWFE","full",5,7,0,0,0,0.0106820255090436,0.02141050025229,0.0503599734382252
76,"Lawler, Yewell (2023)","CS-NYT","full_IF",3,5,0,0,0,-0.000138634144422164,0.0208783936530837,0.049600717044092
76,"Lawler, Yewell (2023)","TWFE","full",3,5,0,0.25,0.5,0.00422289599597911,0.0343385636077339,0.0548280663342448
79,"Carpenter, Lawler (2019)","CS-NYT","full_IF",5,7,1.5,0.25,0.25,0.104271335392925,0.104687379957308,0.181644347569526
79,"Carpenter, Lawler (2019)","TWFE","full",5,7,1.75,0.5,0.25,0.111655384069374,0.17637444923294,0.214546281636816
97,"Bhalotra et al. (2021)","CS-NT","full_IF",5,5,0,0.25,0.25,-0.0345633418654518,-0.351769718142904,-0.556233347279699
97,"Bhalotra et al. (2021)","TWFE","full",5,5,0,0.25,0.5,-0.0345633418652172,-0.351769718142735,-0.556233347279337
125,"Levine, McKnight & Heep (2011)","CS-NT","full_IF",3,5,0,0,0,0.00441939033359128,-0.00419975430450069,-0.0181896403396988
125,"Levine, McKnight & Heep (2011)","TWFE","full",3,5,0,0,0,0.00264845897552025,-0.000863173392119199,-0.0190708007277646
