"id","author_label","group_label","treatment_timing","beta_twfe","se_twfe","twfe_sig","att_cs","se_cs","cs_sig","cs_source","same_sign","mag_ratio","has_event_study","has_bacon","has_honestdid","bacon_tvu_weight","n_pre","n_post","caveat"
9,"Dranove et al. (2021)","escalonada_controles","staggered",-0.176305612449144,0.0483934437629663,1,-0.208403788810132,0.050074686813941,1,"CS-NT",1,1.18205986704052,1,1,1,0.764844305806382,8,9,""
21,"Buchmueller, Carey (2018)","escalonada_sem_controles","staggered",-0.00187036731021377,0.000832237772468236,1,-0.0026313106128874,0.0015541196230538,0,"CS-NT",1,1.40684163934979,1,1,1,0.888569284642321,4,2,""
25,"Carrillo, Feres (2019)","escalonada_controles","staggered",0.115942387567382,0.00858524940816466,1,0.114402687701988,0.0062432319575919,1,"CS-NT",1,0.986720129732543,1,0,1,NA,4,4,""
44,"Bosch, Campos-Vazquez (2014)","escalonada_controles","staggered",-0.00664955216425122,0.00395442293363233,0,0.00474954880939946,0.00306784604951667,0,"CS-NYT",0,0.714265967403579,1,1,1,NA,4,4,"all_eventually_treated"
47,"Clemens (2015)","unica_controles","single",-0.0961699256445425,0.00973755408157843,1,-0.124292091513902,0.018188608900182,1,"CS-NT",1,1.29242162433714,1,1,1,1,4,1,""
60,"Schmitt (2018)","escalonada_controles","staggered",0.0701723452836316,0.0171535151704764,1,0.0528906815675982,0.0189071506304566,1,"CS-NT",1,0.753725436335608,1,1,1,0.93785735748764,4,4,""
61,"Evans, Garthwaite (2014)","unica_sem_controles","single",0.0103163620308446,0.00785727966106738,0,0.006514208761438,0.0136808157304117,0,"CS-NT",1,0.63144437370086,0,0,0,NA,NA,NA,""
65,"Akosa Antwi, Moriya & Simon (2013)","unica_controles","unica",0.0317435990460314,0.00755874745336521,1,0.0248276269285577,0.0296312995568186,0,"CS-NT",1,0.7821301829246,1,0,1,NA,6,6,""
68,"Tanaka (2014)","unica_sem_controles","single",0.521618768605356,0.235299099945325,1,0.521618768605356,0.387137826982381,0,"CS-NT",1,1,0,0,0,NA,NA,NA,""
76,"Lawler, Yewell (2023)","escalonada_controles","staggered",0.0383225319079745,0.00949945737471897,1,0.0137021196723257,0.0188452655603045,0,"CS-NYT",1,0.35754734852147,1,1,1,0.806478637252164,4,4,"all_eventually_treated"
79,"Carpenter, Lawler (2019)","escalonada_controles","staggered",0.135035673651348,0.0139617451673687,1,0.0938171621605584,0.0260524276474318,1,"CS-NYT",1,0.694758352543101,1,1,1,0.403996524761077,6,6,"all_eventually_treated"
80,"Marcus et al. (2022)","unica_controles","single",0.00892490313153214,0.0187175608907998,0,0.0126115287317879,0.0274184505881178,0,"CS-NT",1,1.41307177746621,1,1,0,1,2,2,""
97,"Bhalotra et al. (2021)","unica_sem_controles","single",-0.303140512606909,0.0690796668954863,1,-0.351769718142904,0.0382283484070895,1,"CS-NT",1,1.16041803557631,1,1,1,1,6,4,""
125,"Levine, McKnight & Heep (2011)","escalonada_controles","staggered",-0.000452018963804086,0.00654191379603101,0,0.00547937026628291,0.0135381859350607,0,"CS-NT",0,12.1219920070826,1,1,1,0.827972608424985,4,4,""
133,"Hoynes et al. (2015)","unica_controles","single",-0.386842368254676,0.0825840476845098,1,-0.403015667918745,0.0910006265057063,1,"CS-NT",1,1.04180850132068,1,1,1,1,3,4,""
147,"Greenstone, Hanna (2014)","escalonada_controles","staggered",8.01476783965008,11.9257718040324,0,6.96548721794927,19.034611611779,0,"CS-NT",1,0.869081595038863,1,1,1,1,4,4,""
201,"Maclean & Pabilonia (2025)","escalonada_controles","staggered",4.60861691507703,1.79896812723822,1,0.471733527226411,6.09984912749877,0,"CS-NT",1,0.102359023524637,1,1,1,0.92115801555924,7,7,""
210,"Li et al. (2026)","escalonada_controles","staggered",0.0185367205537801,0.00573760536878165,1,-0.0128417576492292,0.0175792812952436,0,"CS-NYT",0,0.692773978653438,1,0,1,NA,11,12,"all_eventually_treated"
213,"Estrada & Lombardi (2022)","unica_sem_controles","single",-0.0371804135685964,0.0102530414315688,1,-0.0299055242594536,0.0143926206113516,1,"CS-NT",1,0.804335438719074,1,0,1,NA,3,3,""
228,"Sarmiento, Wagner & Zaklan (2023)","escalonada_sem_controles","staggered",-1.23958302550756,0.327351897853744,1,-1.64244932855649,0.308454383184958,1,"CS-NT",1,1.32500146804122,1,1,1,0.920591832330162,5,5,""
233,"Kresch (2020)","unica_controles","single",2868.31728211524,1254.26045015833,1,367.503996604802,205.18966902183,0,"CS-NT",1,0.128125294539866,1,0,1,NA,4,6,""
234,"Myers (2017)","escalonada_sem_controles","staggered",-0.00332450541874533,0.00870774198027262,0,0.00267143548834586,0.0102560193140427,0,"CS-NT",0,0.803558770962708,1,1,1,0.18278359221065,5,5,""
241,"Soliman (2025)","escalonada_sem_controles","staggered",-33.6514775751975,6.48591329761202,1,-48.4913056131598,7.06210995723724,1,"CS-NT",1,1.44098592713503,1,1,1,0.988923222346196,2,3,""
242,"Moorthy, Shaloka (2025)","escalonada_controles","staggered",0.0194379269797816,0.00755748090369024,1,0.00826116456883288,0.00772876693846669,0,"CS-NT",1,0.425002346053967,1,0,1,NA,5,5,""
253,"Bancalari (2024)","escalonada_sem_controles","staggered",0.737334766407397,0.415934665102275,0,1.57465925682525,0.718231673193056,1,"CS-NT",1,2.13560966953674,1,1,1,0.244954924760014,6,7,""
254,"Gandhi et al. (2024)","unica_sem_controles","single",5.49134462694104,0.580756789052726,1,5.69294688774627,0.915350232676549,1,"CS-NT",1,1.03671273148951,1,0,1,NA,7,4,""
262,"Anderson, Charles, Rees (2020)","escalonada_controles","staggered",1.22100381425433,0.887922734620682,0,1.26006970149206,0.430913906174968,1,"CS-NT",1,1.03199489369457,1,1,1,0.113981778961703,5,5,""
263,"Axbard, Deng (2024)","unica_controles","single",0.00332821701419623,0.000556311619853736,1,0.00259567620388425,0.00386812950960027,0,"CS-NT",1,0.77989992624057,1,0,1,NA,4,4,""
267,"Bhalotra, Clarke, Gomes, Venkataramani (2022)","escalonada_sem_controles","staggered",-0.0821277794730527,0.0506622722490131,0,-0.0912716601206951,0.0704913961259876,0,"CS-NT",1,1.11133724430773,1,1,1,0.96080324897808,5,5,""
271,"Sekhri, Shastry (2024)","unica_controles","single",67.8101003736321,11.8621029043069,1,69.7517844119774,11.8447312278371,1,"CS-NT",1,1.0286341419294,1,1,1,1,5,5,""
281,"Steffens, Pereda (2025)","unica_sem_controles","single",0.00240178226014686,0.00552798153722883,0,-0.000244353421393462,0.00151721888132974,0,"CS-NT",0,0.101738373810172,1,0,1,NA,4,4,""
290,"Arbogast et al. (2022)","escalonada_controles","staggered",-0.0182368292152523,0.00699383056789931,1,-0.0236715724870593,0.00568110764068304,1,"CS-NT",1,1.29800922121164,1,1,1,0.882210767134362,5,5,""
304,"Arthi, Beach & Hanlon (2022)","unica_sem_controles","single",2.19350069864194,0.463496508539381,1,2.2417723971972,0.410142738858787,1,"CS-NT",1,1.02200669395052,0,0,0,NA,0,0,""
305,"Brodeur, Yousaf (2020)","escalonada_sem_controles","staggered",-1.34792178014968,0.522861785387503,1,-1.27603718064916,0.711530141664214,0,"CS-NT",1,0.946670051215778,1,1,1,0.984727830912741,5,5,""
309,"Johnson, Schwab, Koval (2024)","escalonada_sem_controles","staggered",-0.136670375733111,0.0460784086838844,1,-0.186902381889368,0.0426806808116222,1,"CS-NT",1,1.36754128966726,1,1,1,0.367362722351121,5,5,""
311,"Galasso & Schankerman (2024)","escalonada_sem_controles","staggered",0.662503301400722,0.0504269679817082,1,0.732650134147225,0.0673510698716918,1,"CS-NT",1,1.10588148405931,1,0,1,NA,5,5,""
321,"Xu (2023)","unica_sem_controles","single",-0.142352229588409,0.041021211634704,1,-0.1354514836891,0.0686985237019591,1,"CS-NT",1,0.951523443508672,1,0,1,NA,4,3,""
323,"Prem, Vargas, Mejia (2023)","unica_sem_controles","single",0.642699796548609,0.199192792312319,1,0.598834789327718,0.199058250089653,1,"CS-NT",1,0.931748839105828,1,0,1,NA,2,4,""
333,"Clarke, Muhlrad (2021)","unica_sem_controles","single",-0.0635760976965945,0.0126052486776013,1,-0.0577741129794464,0.012887583069447,1,"CS-NT",1,0.908739527474035,1,0,1,NA,36,36,""
335,"Le Moglie, Sorrenti (2022)","unica_controles","single",0.0405299905518192,0.012735679263898,1,0.0463593590016268,0.0195335657543337,1,"CS-NT",1,1.14382851736308,1,0,1,NA,4,7,""
337,"Cameron, Seager, Shah (2021)","unica_sem_controles","single",0.272562768828046,0.0315896572990016,1,0.211204143024848,0.0810422142561854,1,"CS-NT",1,0.774882585515897,0,0,0,NA,NA,NA,""
347,"Courtemanche et al. (2025)","escalonada_controles","staggered",-0.174401233822183,0.0807748897776127,1,-0.448002223969434,0.0990825622068336,1,"CS-NT",1,2.56880191814589,1,1,1,0.954181494661922,7,4,""

358,"Bargain, Boutin, Champeaux (2019)","unica_controles","single",4.18087364321759,1.05256366426774,1,4.5914309994703,0.437412771837132,1,"CS-NT",1,1.09819893909464,0,0,0,NA,0,0,""
359,"Anderson, Charles, Olivares, Rees (2019)","escalonada_controles","staggered",-0.03629,0.0333,0,-0.00403471324034519,0.0860945177331409,0,"CS-NT",1,0.11117975310954,1,1,1,0.879481761180587,5,5,""
380,"Kuziemko, Meckel, Rossin-Slater (2018)","escalonada_controles","staggered",0.0683427009292993,0.0732926855196801,0,-0.160835135177753,0.361455223361058,0,"CS-NT",0,2.35336229020473,1,1,1,0.855222451773666,5,5,""

395,"Malkova (2018)","escalonada_sem_controles","staggered",1.09077879994579,0.408643260896881,1,1.96793775996215,0.502054610186175,1,"CS-NYT",1,1.80415842337599,1,0,1,NA,5,0,"all_eventually_treated"
401,"Rossin-Slater (2017)","escalonada_controles","staggered",-0.0285386336405328,0.0075655819445946,1,-0.00528848721920426,0.0150030140584996,0,"CS-NYT",1,0.185309755393935,1,0,1,NA,5,5,"all_eventually_treated"
419,"Kahn, Li, Zhao (2015)","unica_controles","single",-2.01218728650879,1.02250434216033,1,-1.25217702817283,0.805648716520004,0,"CS-NT",1,0.622296461451855,1,0,0,NA,2,4,""
420,"Bailey, Goodman-Bacon (2015)","escalonada_controles","staggered",-53.2073608219238,14.837204081409,1,-58.9910856173286,17.2724300266209,1,"CS-NT",1,1.10870159139751,1,0,1,NA,6,10,""
432,"Gallagher (2014)","escalonada_sem_controles","staggered",0.109513545033387,0.0163032409583095,1,0.121491906068443,0.0150169736941858,1,"CS-NT",1,1.10937789504855,1,1,1,0.543693866873253,10,11,""
433,"DeAngelo, Hansen (2014)","unica_controles","single",0.699979576474942,0.13285804508241,1,0.69787486799015,0.365631231816721,0,"CS-NT",1,0.996993185864949,1,0,1,NA,6,6,""
437,"Hausman (2014)","escalonada_sem_controles","staggered",-42.2449873972666,66.0978549284633,0,40.4471423611111,64.7318454929872,0,"CS-NT",0,0.957442405669369,1,1,1,0.735490678860359,5,5,"CS_unreliable_Pattern46"

525,"Danzer & Zyska (2023)","unica_sem_controles","single",-0.00776323287895954,0.00284433143566655,1,-0.0140362570608885,0.00826163104259637,0,"CS-NT",1,1.80804276771479,0,0,0,NA,NA,NA,""
744,"Jayachandran et al. (2010)","unica_controles","single",-0.281137657039284,0.1075973263312,1,-0.314510241707188,0.0221571522017363,1,"CS-NT",1,1.11870549473648,1,0,1,NA,12,6,""
1094,"Fisman & Wang (2017)","escalonada_sem_controles","staggered",-0.0464715602120599,0.0409136014427681,0,-0.0220906730372646,0.0434715518677469,0,"CS-NT",1,0.475358970872939,1,1,1,0.705404137787274,4,4,""
2303,"Cao & Ma (2023)","escalonada_controles","staggered",-4.8364925647417,1.49532520634809,1,-3.12628028854955,5.78818998367934,0,"CS-NT",1,0.646394106204216,1,1,1,0.719297051961343,5,5,""
