"T","G","weight","cohort_raw","cohort_year","cohort_lab"
187,2,0.00204397006233742,187,2019,"Cohort 2019"
188,2,0.000716037895154091,187,2019,"Cohort 2019"
189,2,0.00176296806984275,187,2019,"Cohort 2019"
190,2,0.00107915397421699,187,2019,"Cohort 2019"
191,2,0.00242414447847687,187,2019,"Cohort 2019"
192,2,0.00180137854962311,187,2019,"Cohort 2019"
193,2,0.00287207978679137,187,2019,"Cohort 2019"
194,2,0.00266104489659346,187,2019,"Cohort 2019"
195,2,0.00185707887473212,187,2019,"Cohort 2019"
196,2,0.00259798417229145,187,2019,"Cohort 2019"
197,2,0.00312985084866057,187,2019,"Cohort 2019"
198,2,0.00165325623072397,187,2019,"Cohort 2019"
199,2,0.00261437305590128,187,2019,"Cohort 2019"
200,2,0.00193247215178841,187,2019,"Cohort 2019"
201,2,0.00188434923382277,187,2019,"Cohort 2019"
202,2,0.00179192964070383,187,2019,"Cohort 2019"
203,2,0.000961087558727674,187,2019,"Cohort 2019"
204,2,0.00364736059121613,187,2019,"Cohort 2019"
205,2,0.00062459772746472,187,2019,"Cohort 2019"
206,2,0.0024403340834709,187,2019,"Cohort 2019"
207,2,0.00212756507077717,187,2019,"Cohort 2019"
208,2,0.00129634808581385,187,2019,"Cohort 2019"
209,2,0.00119238019185111,187,2019,"Cohort 2019"
210,2,0.00122900471151288,187,2019,"Cohort 2019"
211,2,0.000630258849273369,187,2019,"Cohort 2019"
212,2,0.000882028960214124,187,2019,"Cohort 2019"
213,2,0.00157080606679666,187,2019,"Cohort 2019"
214,2,0.000658909827235251,187,2019,"Cohort 2019"
215,2,0.00157181002211566,187,2019,"Cohort 2019"
216,2,0.00120612679167341,187,2019,"Cohort 2019"
217,2,0.00159180329481383,187,2019,"Cohort 2019"
218,2,0.00241756836437566,187,2019,"Cohort 2019"
219,2,0.00150981541781488,187,2019,"Cohort 2019"
220,2,0.000937155475690653,187,2019,"Cohort 2019"
221,2,0.000912268174207761,187,2019,"Cohort 2019"
222,2,0.00157167915003878,187,2019,"Cohort 2019"
223,2,0.000905799796102329,187,2019,"Cohort 2019"
224,2,0.000609134102807304,187,2019,"Cohort 2019"
225,2,0.000935057670484517,187,2019,"Cohort 2019"
226,2,0.00124460644317643,187,2019,"Cohort 2019"
227,2,0.00120518587989081,187,2019,"Cohort 2019"
228,2,0.00084477317897615,187,2019,"Cohort 2019"
229,2,0.00146556247501923,187,2019,"Cohort 2019"
