"estimator","target","Mbar","lb","ub"
"TWFE","first",0,-0.025796184850406,0.0473571751731333
"TWFE","first",0.25,-0.0334965385370943,0.0558275642284906
"TWFE","first",0.5,-0.0419669275924515,0.0650679886525166
"TWFE","first",0.75,-0.0527474227538152,0.0766185191825491
"TWFE","first",1,-0.0666080593898543,0.0912491911872569
"TWFE","first",1.25,-0.0812387313945621,0.105879863191965
"TWFE","first",1.5,-0.09586940339927,0.119740499828004
"TWFE","first",1.75,-0.110500075403978,0.134371171832712
"TWFE","first",2,-0.125900782777355,0.14900184383742
"TWFE","avg",0,-0.00604940773722334,0.0492594630031042
"TWFE","avg",0.25,-0.0538685355647981,0.092469518268985
"TWFE","avg",0.5,-0.115514881077455,0.152387461571007
"TWFE","avg",0.75,-0.179465762870959,0.21633834336451
"TWFE","avg",1,-0.243416644664462,0.280289225158014
"TWFE","avg",1.25,-0.287778968070767,0.287778968070767
"TWFE","avg",1.5,-0.287778968070767,0.287778968070767
"TWFE","avg",1.75,-0.287778968070767,0.287778968070767
"TWFE","avg",2,-0.287778968070767,0.287778968070767
"TWFE","peak",0,0.00757391235026206,0.0931145694826332
"TWFE","peak",0.25,-0.0164843974682173,0.120737073348295
"TWFE","peak",0.5,-0.0556905319872208,0.162616353402685
"TWFE","peak",0.75,-0.0993519090652019,0.208950876016053
"TWFE","peak",1,-0.14568643167857,0.25528539862942
"TWFE","peak",1.25,-0.192020954291937,0.301619921242788
"TWFE","peak",1.5,-0.239246525417101,0.348845492367951
"TWFE","peak",1.75,-0.286472096542264,0.396071063493114
"TWFE","peak",2,-0.333697667667427,0.444187683130073
"CS-NT","first",0,-0.0380152569562103,0.0530336300747131
"CS-NT","first",0.25,-0.0427084985557424,0.0577268716742452
"CS-NT","first",0.5,-0.0502176851149938,0.0652360582334966
"CS-NT","first",0.75,-0.0605428166339645,0.0746225414325609
"CS-NT","first",1,-0.072745244792748,0.0868249695913444
"CS-NT","first",1.25,-0.085886321271438,0.100904694389941
"CS-NT","first",1.5,-0.0999660460700344,0.114984419188537
"CS-NT","first",1.75,-0.114045770868631,0.128125495667227
"CS-NT","first",2,-0.128125495667227,0.14314386878573
"CS-NT","avg",0,-0.0123451772377123,0.056082376594179
"CS-NT","avg",0.25,-0.0518497443983919,0.0955869437548585
"CS-NT","avg",0.5,-0.111106595139411,0.154843794495878
"CS-NT","avg",0.75,-0.173185200677622,0.216922400034088
"CS-NT","avg",1,-0.23596924491513,0.279706444271597
"CS-NT","avg",1.25,-0.299458727851937,0.343195927208403
"CS-NT","avg",1.5,-0.352366630299275,0.352366630299275
"CS-NT","avg",1.75,-0.352366630299275,0.352366630299275
"CS-NT","avg",2,-0.352366630299275,0.352366630299275
"CS-NT","peak",0,0.00239500642788459,0.0953212558298072
"CS-NT","peak",0.25,-0.0186810501374999,0.116397312395192
"CS-NT","peak",0.5,-0.0589171581259612,0.156633420383653
"CS-NT","peak",0.75,-0.103943278970192,0.201659541227884
"CS-NT","peak",1,-0.149927402385576,0.247643664643268
"CS-NT","peak",1.25,-0.196869528372114,0.294585790629806
"CS-NT","peak",1.5,-0.243811654358653,0.341527916616344
"CS-NT","peak",1.75,-0.290753780345191,0.388470042602883
"CS-NT","peak",2,-0.337695906331729,0.435412168589421
